ID,feed_id,method_id,pollutant_averaging,pollutant_id,pollutant_unit,date,pollutant_value,station_id,X,Y,ID_estacion
38,UYMVD_2007_12_12_24,UYMVD_PM2_D ,24,PM2,ug/m3,12/12/07,"56,74",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
39,UYMVD_2007_12_18_24,UYMVD_PM2_D ,24,PM2,ug/m3,18/12/07,"31,61",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
40,UYMVD_2007_12_24_24,UYMVD_PM2_D ,24,PM2,ug/m3,24/12/07,"55,42",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
41,UYMVD_2007_12_30_24,UYMVD_PM2_D ,24,PM2,ug/m3,30/12/07,"28,06",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
42,UYMVD_2008_4_16_24,UYMVD_PM2_D ,24,PM2,ug/m3,16/04/08,"51,35",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
43,UYMVD_2008_4_22_24,UYMVD_PM2_D ,24,PM2,ug/m3,22/04/08,"84,26",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
44,UYMVD_2008_4_28_24,UYMVD_PM2_D ,24,PM2,ug/m3,28/04/08,"47,65",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
45,UYMVD_2008_5_4_24,UYMVD_PM2_D ,24,PM2,ug/m3,04/05/08,"26,48",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
46,UYMVD_2008_5_10_24,UYMVD_PM2_D ,24,PM2,ug/m3,10/05/08,"77,81",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
47,UYMVD_2008_5_13_24,UYMVD_PM2_D ,24,PM2,ug/m3,13/05/08,"169,82",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
48,UYMVD_2008_5_16_24,UYMVD_PM2_D ,24,PM2,ug/m3,16/05/08,"97,46",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
